               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.033782,              0.1239,            0.036717,             0.38634,             0.79058,             0.56177,             0.25156,            0.043287,             0.10692,            0.034186,            0.006436,            0.006436,            0.006436
                  38,            0.033692,             0.12071,            0.036024,             0.44034,             0.79233,             0.59282,             0.27147,            0.045939,             0.10851,            0.032858,            0.006337,            0.006337,            0.006337
                  39,            0.033706,             0.11993,            0.035346,             0.47233,             0.78474,             0.62437,             0.27471,            0.044036,              0.1078,            0.032031,            0.006238,            0.006238,            0.006238
                  40,             0.03331,             0.11873,            0.034577,             0.48395,             0.81746,             0.64428,             0.27616,            0.042972,             0.10805,            0.031271,            0.006139,            0.006139,            0.006139
                  41,            0.033635,             0.12114,            0.034012,             0.48827,              0.7775,             0.63783,             0.26734,            0.044002,             0.10705,            0.031241,             0.00604,             0.00604,             0.00604
                  42,            0.033135,             0.11763,            0.033366,             0.50148,             0.81688,             0.66013,             0.29375,            0.045379,             0.10643,            0.030179,            0.005941,            0.005941,            0.005941
                  43,            0.033562,             0.12343,            0.032412,             0.53717,             0.74245,             0.65583,             0.29292,            0.045809,              0.1101,            0.030685,            0.005842,            0.005842,            0.005842
                  44,             0.03224,             0.11854,            0.031562,             0.54996,             0.78457,             0.71197,              0.3171,             0.04329,             0.10642,            0.028755,            0.005743,            0.005743,            0.005743
                  45,            0.033642,             0.12378,            0.030655,             0.62728,             0.74763,             0.72639,             0.33029,            0.045943,             0.10723,            0.027902,            0.005644,            0.005644,            0.005644
                  46,            0.033198,             0.12293,            0.030312,             0.58384,             0.78595,             0.74083,             0.33531,             0.04505,             0.10843,            0.027194,            0.005545,            0.005545,            0.005545
                  47,            0.032823,             0.11801,            0.029129,             0.66887,             0.76452,             0.76274,             0.33655,            0.041399,             0.10498,            0.027576,            0.005446,            0.005446,            0.005446
                  48,            0.032569,             0.11958,            0.028201,             0.70642,             0.76326,             0.77098,             0.33408,            0.042483,             0.10587,            0.026265,            0.005347,            0.005347,            0.005347
                  49,            0.033004,             0.12042,            0.027318,             0.72564,             0.79973,              0.7926,             0.34864,            0.042794,             0.10744,            0.025316,            0.005248,            0.005248,            0.005248
                  50,            0.031495,             0.11783,             0.02685,             0.70243,             0.78796,             0.77782,              0.3276,            0.042641,             0.10708,            0.024538,            0.005149,            0.005149,            0.005149
                  51,            0.032296,             0.11655,            0.026301,             0.78455,             0.76341,             0.80072,             0.35164,            0.043648,              0.1096,             0.02468,             0.00505,             0.00505,             0.00505
                  52,            0.031608,             0.11504,            0.025453,             0.78687,             0.75538,             0.79476,             0.36193,            0.046144,             0.10841,            0.024469,            0.004951,            0.004951,            0.004951
                  53,            0.032918,             0.11785,            0.025115,             0.80804,             0.76117,               0.803,             0.36231,            0.045876,             0.10785,            0.023338,            0.004852,            0.004852,            0.004852
                  54,             0.03246,             0.12029,            0.024615,             0.80117,             0.75999,             0.80183,             0.36403,            0.047131,             0.10915,            0.023146,            0.004753,            0.004753,            0.004753
                  55,            0.031834,             0.11732,            0.023888,             0.80565,              0.8038,             0.83426,             0.37886,            0.043489,             0.10949,            0.022394,            0.004654,            0.004654,            0.004654
                  56,            0.031643,             0.11709,            0.023184,             0.83161,             0.78031,             0.83031,             0.34699,            0.042196,             0.10599,            0.022481,            0.004555,            0.004555,            0.004555
                  57,            0.031758,             0.11791,            0.022783,             0.84216,             0.80319,             0.84091,             0.36412,            0.042454,             0.10821,            0.021271,            0.004456,            0.004456,            0.004456
                  58,            0.031543,             0.11425,             0.02221,              0.8412,             0.81488,             0.85095,             0.37148,            0.043677,             0.10995,            0.020763,            0.004357,            0.004357,            0.004357
                  59,            0.031074,             0.11522,              0.0217,             0.83812,             0.81581,             0.85696,             0.36653,            0.042152,             0.10806,            0.019699,            0.004258,            0.004258,            0.004258
                  60,            0.031901,             0.11593,            0.020625,             0.82383,             0.82712,             0.84855,             0.38403,            0.044278,             0.10869,            0.019423,            0.004159,            0.004159,            0.004159
                  61,            0.031362,             0.11839,            0.019965,             0.79764,              0.8552,             0.85142,              0.3859,            0.044859,             0.10939,            0.019153,             0.00406,             0.00406,             0.00406
                  62,            0.030595,             0.11541,            0.019561,             0.81884,             0.86732,              0.8598,             0.38571,             0.04303,              0.1091,             0.01834,            0.003961,            0.003961,            0.003961
                  63,            0.030473,             0.10857,             0.01858,               0.809,             0.84141,             0.83732,             0.37223,            0.045182,             0.11016,            0.018006,            0.003862,            0.003862,            0.003862
                  64,            0.030826,             0.11488,            0.017934,             0.80912,             0.85275,             0.84699,             0.38743,             0.04339,             0.10782,            0.017678,            0.003763,            0.003763,            0.003763
                  65,            0.030993,             0.11435,            0.016842,              0.8613,             0.87976,             0.89005,             0.38603,            0.041887,             0.10785,            0.015718,            0.003664,            0.003664,            0.003664
                  66,            0.031005,             0.11469,            0.016678,             0.83765,             0.86304,             0.87526,             0.38675,            0.043372,             0.11031,             0.01674,            0.003565,            0.003565,            0.003565
                  67,            0.029421,             0.11261,            0.015757,             0.85611,             0.87747,             0.87618,             0.39512,            0.043507,             0.10768,            0.016486,            0.003466,            0.003466,            0.003466
                  68,             0.03027,              0.1111,            0.015071,             0.86044,             0.89949,             0.89199,             0.40432,            0.043652,             0.10794,            0.015319,            0.003367,            0.003367,            0.003367
                  69,            0.030175,             0.11329,             0.01487,             0.84365,             0.88697,             0.87189,             0.39918,            0.045129,             0.11123,            0.014779,            0.003268,            0.003268,            0.003268
                  70,            0.029627,             0.11049,            0.014563,             0.85396,             0.87903,             0.85524,             0.37986,            0.045689,             0.11114,            0.014666,            0.003169,            0.003169,            0.003169
                  71,            0.029273,              0.1112,             0.01421,             0.86444,             0.91237,              0.8954,             0.39817,            0.041856,             0.10784,            0.014101,             0.00307,             0.00307,             0.00307
                  72,            0.029234,             0.10981,            0.013284,             0.87205,             0.91227,              0.8882,             0.39668,            0.043245,             0.10808,            0.013971,            0.002971,            0.002971,            0.002971
                  73,            0.029412,             0.11185,            0.012989,             0.87363,             0.91645,             0.88518,             0.39752,            0.044401,             0.10968,            0.013734,            0.002872,            0.002872,            0.002872
                  74,            0.029414,             0.11159,            0.012654,             0.89394,             0.92561,             0.90099,             0.40946,            0.043361,             0.10825,            0.013096,            0.002773,            0.002773,            0.002773
                  75,            0.029066,             0.11176,            0.012331,             0.88862,             0.91396,             0.89955,             0.40455,            0.043417,              0.1102,            0.013349,            0.002674,            0.002674,            0.002674
                  76,            0.029247,             0.11571,            0.012319,             0.88741,             0.91333,             0.89408,             0.39736,            0.043118,             0.10938,             0.01295,            0.002575,            0.002575,            0.002575
                  77,            0.028672,             0.11213,            0.011887,             0.88448,             0.91423,             0.89115,             0.40031,            0.044494,             0.10907,            0.012762,            0.002476,            0.002476,            0.002476
                  78,            0.028368,             0.11145,            0.011153,              0.8907,             0.92079,             0.89922,             0.40302,            0.043431,             0.10959,            0.013339,            0.002377,            0.002377,            0.002377
                  79,            0.028556,             0.10723,            0.011371,             0.89507,             0.92203,             0.90339,             0.40514,            0.044076,             0.10871,            0.013015,            0.002278,            0.002278,            0.002278
                  80,            0.028461,             0.10824,             0.01148,             0.88307,             0.91023,             0.88702,             0.39598,            0.042967,             0.10819,            0.013441,            0.002179,            0.002179,            0.002179
                  81,            0.028461,             0.10982,            0.011138,             0.89441,             0.92834,             0.89415,             0.39223,            0.042228,             0.10811,             0.01261,             0.00208,             0.00208,             0.00208
                  82,            0.027321,             0.10766,            0.010713,             0.88428,             0.92122,             0.88924,             0.39489,            0.043623,             0.10891,            0.012532,            0.001981,            0.001981,            0.001981
                  83,            0.027533,             0.10818,             0.01084,             0.88937,             0.92596,             0.89545,             0.40131,            0.044705,             0.10999,            0.013037,            0.001882,            0.001882,            0.001882
                  84,            0.027779,             0.10522,            0.010211,             0.88511,             0.92082,              0.8869,             0.40118,            0.045896,             0.11306,            0.013035,            0.001783,            0.001783,            0.001783
                  85,            0.027332,             0.10666,            0.010173,             0.89381,             0.92711,             0.89782,             0.40103,            0.044401,             0.10991,            0.012689,            0.001684,            0.001684,            0.001684
                  86,            0.027281,             0.11094,            0.010506,             0.89014,             0.92405,             0.89457,             0.39837,            0.044629,              0.1113,            0.012705,            0.001585,            0.001585,            0.001585
                  87,            0.027375,              0.1092,            0.010496,             0.87284,              0.9095,             0.86645,             0.38974,            0.046983,             0.11245,            0.012743,            0.001486,            0.001486,            0.001486
                  88,            0.027428,              0.1124,            0.010348,             0.88825,             0.92994,             0.89211,             0.40116,            0.045032,             0.11121,            0.012206,            0.001387,            0.001387,            0.001387
                  89,            0.026979,             0.10463,            0.010093,             0.89383,              0.9272,             0.89445,             0.40122,            0.044689,             0.11159,            0.012076,            0.001288,            0.001288,            0.001288
                  90,            0.026555,             0.10552,           0.0098204,             0.89496,             0.93788,             0.90195,             0.40109,            0.044755,             0.11077,            0.012377,            0.001189,            0.001189,            0.001189
                  91,            0.026741,             0.10817,           0.0097698,             0.89275,             0.93622,             0.90186,             0.40304,            0.043901,             0.11035,            0.012531,             0.00109,             0.00109,             0.00109
                  92,            0.026292,             0.10316,           0.0095692,             0.88939,             0.92893,             0.88983,             0.40001,             0.04448,              0.1108,            0.012431,            0.000991,            0.000991,            0.000991
                  93,             0.02659,             0.10409,           0.0097816,             0.88496,             0.93535,             0.89368,             0.39979,            0.045297,             0.11196,            0.012693,            0.000892,            0.000892,            0.000892
                  94,            0.026863,             0.10757,           0.0094385,             0.88924,             0.92763,             0.89194,             0.40473,            0.044801,              0.1118,            0.012283,            0.000793,            0.000793,            0.000793
                  95,            0.026952,             0.11106,            0.009421,             0.89555,             0.93679,             0.89976,             0.40282,            0.044633,             0.11168,            0.012748,            0.000694,            0.000694,            0.000694
                  96,            0.026701,             0.10408,           0.0090646,             0.88727,             0.92966,             0.89462,                 0.4,            0.044413,             0.11126,            0.012767,            0.000595,            0.000595,            0.000595
                  97,            0.026348,             0.10205,           0.0090293,             0.89231,             0.93181,             0.89789,             0.40095,            0.044478,             0.11182,            0.012521,            0.000496,            0.000496,            0.000496
                  98,            0.026872,              0.1109,           0.0092386,             0.89004,             0.93076,              0.8953,             0.40309,            0.044722,             0.11163,             0.01256,            0.000397,            0.000397,            0.000397
                  99,            0.026277,             0.10647,           0.0091306,              0.8906,             0.92985,             0.89577,             0.40123,             0.04484,             0.11165,            0.012461,            0.000298,            0.000298,            0.000298
